state,year,disposable_income_per_capita
Alabama,1998,20103
Alaska,1998,26112
Arizona,1998,21147
Arkansas,1998,18836
California,1998,24763
Colorado,1998,25540
Connecticut,1998,30870
Delaware,1998,25109
District of Columbia,1998,32269
Florida,1998,23625
Georgia,1998,22597
Hawaii,1998,23445
Idaho,1998,20140
Illinois,1998,25616
Indiana,1998,22420
Iowa,1998,22207
Kansas,1998,22874
Kentucky,1998,19587
Louisiana,1998,19854
Maine,1998,21790
Maryland,1998,26691
Massachusetts,1998,27143
Michigan,1998,23429
Minnesota,1998,24783
Mississippi,1998,18195
Missouri,1998,22247
Montana,1998,19018
Nebraska,1998,23220
Nevada,1998,25555
New Hampshire,1998,26587
New Jersey,1998,29365
New Mexico,1998,19021
New York,1998,26876
North Carolina,1998,22021
North Dakota,1998,21017
Ohio,1998,22760
Oklahoma,1998,19382
Oregon,1998,22307
Pennsylvania,1998,23633
Rhode Island,1998,23920
South Carolina,1998,20157
South Dakota,1998,22009
Tennessee,1998,22532
Texas,1998,22613
Utah,1998,19421
Vermont,1998,22612
Virginia,1998,24829
Washington,1998,25570
West Virginia,1998,18276
Wisconsin,1998,23210
Wyoming,1998,22463
Alabama,1999,20648
Alaska,1999,26760
Arizona,1999,21761
Arkansas,1999,19433
California,1999,25769
Colorado,1999,26610
Connecticut,1999,32285
Delaware,1999,26670
District of Columbia,1999,33392
Florida,1999,24256
Georgia,1999,23501
Hawaii,1999,24284
Idaho,1999,20843
Illinois,1999,26496
Indiana,1999,23124
Iowa,1999,22651
Kansas,1999,23438
Kentucky,1999,20243
Louisiana,1999,20293
Maine,1999,22635
Maryland,1999,27950
Massachusetts,1999,28655
Michigan,1999,24498
Minnesota,1999,25906
Mississippi,1999,18643
Missouri,1999,22913
Montana,1999,19207
Nebraska,1999,24164
Nevada,1999,26453
New Hampshire,1999,27743
New Jersey,1999,30230
New Mexico,1999,19142
New York,1999,28101
North Carolina,1999,22717
North Dakota,1999,21352
Ohio,1999,23410
Oklahoma,1999,19691
Oregon,1999,22660
Pennsylvania,1999,24568
Rhode Island,1999,24718
South Carolina,1999,20831
South Dakota,1999,22780
Tennessee,1999,23131
Texas,1999,23430
Utah,1999,20079
Vermont,1999,23679
Virginia,1999,25999
Washington,1999,26365
West Virginia,1999,18782
Wisconsin,1999,23981
Wyoming,1999,23898
Alabama,2000,21527
Alaska,2000,28557
Arizona,2000,22931
Arkansas,2000,20168
California,2000,27424
Colorado,2000,28739
Connecticut,2000,34766
Delaware,2000,29217
District of Columbia,2000,36365
Florida,2000,25680
Georgia,2000,24815
Hawaii,2000,25593
Idaho,2000,22016
Illinois,2000,28299
Indiana,2000,24587
Iowa,2000,24173
Kansas,2000,24519
Kentucky,2000,21739
Louisiana,2000,21391
Maine,2000,23993
Maryland,2000,30019
Massachusetts,2000,30947
Michigan,2000,26131
Minnesota,2000,27520
Mississippi,2000,19541
Missouri,2000,24288
Montana,2000,20277
Nebraska,2000,25384
Nevada,2000,27743
New Hampshire,2000,30496
New Jersey,2000,32751
New Mexico,2000,20534
New York,2000,29930
North Carolina,2000,23734
North Dakota,2000,23329
Ohio,2000,24546
Oklahoma,2000,21224
Oregon,2000,24061
Pennsylvania,2000,26217
Rhode Island,2000,26192
South Carolina,2000,22092
South Dakota,2000,24167
Tennessee,2000,24299
Texas,2000,24894
Utah,2000,21088
Vermont,2000,25326
Virginia,2000,27760
Washington,2000,28072
West Virginia,2000,19902
Wisconsin,2000,25421
Wyoming,2000,25465
Alabama,2001,22243
Alaska,2001,29933
Arizona,2001,23670
Arkansas,2001,21202
California,2001,28677
Colorado,2001,29944
Connecticut,2001,36660
Delaware,2001,32112
District of Columbia,2001,37650
Florida,2001,26726
Georgia,2001,25745
Hawaii,2001,26532
Idaho,2001,22738
Illinois,2001,29510
Indiana,2001,25065
Iowa,2001,24942
Kansas,2001,25399
Kentucky,2001,22379
Louisiana,2001,22933
Maine,2001,25272
Maryland,2001,31389
Massachusetts,2001,32755
Michigan,2001,26699
Minnesota,2001,28635
Mississippi,2001,20625
Missouri,2001,24979
Montana,2001,21108
Nebraska,2001,26657
Nevada,2001,28441
New Hampshire,2001,32264
New Jersey,2001,33807
New Mexico,2001,21832
New York,2001,30598
North Carolina,2001,24111
North Dakota,2001,23824
Ohio,2001,25290
Oklahoma,2001,22501
Oregon,2001,24830
Pennsylvania,2001,27399
Rhode Island,2001,27497
South Carolina,2001,22689
South Dakota,2001,24934
Tennessee,2001,24727
Texas,2001,26251
Utah,2001,21841
Vermont,2001,27003
Virginia,2001,28945
Washington,2001,28962
West Virginia,2001,21181
Wisconsin,2001,26711
Wyoming,2001,27252
Alabama,2002,23193
Alaska,2002,31592
Arizona,2002,24572
Arkansas,2002,21949
California,2002,29843
Colorado,2002,30322
Connecticut,2002,37949
Delaware,2002,33512
District of Columbia,2002,39006
Florida,2002,27685
Georgia,2002,26745
Hawaii,2002,28089
Idaho,2002,23788
Illinois,2002,30451
Indiana,2002,25741
Iowa,2002,26001
Kansas,2002,26072
Kentucky,2002,23224
Louisiana,2002,23928
Maine,2002,26448
Maryland,2002,32956
Massachusetts,2002,33862
Michigan,2002,27173
Minnesota,2002,29564
Mississippi,2002,21303
Missouri,2002,26008
Montana,2002,22052
Nebraska,2002,27510
Nevada,2002,28757
New Hampshire,2002,33313
New Jersey,2002,35111
New Mexico,2002,22892
New York,2002,31703
North Carolina,2002,24689
North Dakota,2002,24881
Ohio,2002,26111
Oklahoma,2002,23399
Oregon,2002,25326
Pennsylvania,2002,28464
Rhode Island,2002,29059
South Carolina,2002,23564
South Dakota,2002,25237
Tennessee,2002,25747
Texas,2002,26772
Utah,2002,22575
Vermont,2002,27918
Virginia,2002,30199
Washington,2002,29862
West Virginia,2002,22254
Wisconsin,2002,27822
Wyoming,2002,28577
Alabama,2003,24330
Alaska,2003,33081
Arizona,2003,25739
Arkansas,2003,23360
California,2003,31148
Colorado,2003,31014
Connecticut,2003,38568
Delaware,2003,34060
District of Columbia,2003,39835
Florida,2003,28968
Georgia,2003,27670
Hawaii,2003,29360
Idaho,2003,24375
Illinois,2003,31328
Indiana,2003,26467
Iowa,2003,26683
Kansas,2003,27082
Kentucky,2003,23938
Louisiana,2003,24818
Maine,2003,27812
Maryland,2003,34399
Massachusetts,2003,34822
Michigan,2003,28054
Minnesota,2003,31084
Mississippi,2003,22222
Missouri,2003,27126
Montana,2003,23718
Nebraska,2003,29397
Nevada,2003,29853
New Hampshire,2003,33969
New Jersey,2003,36146
New Mexico,2003,23883
New York,2003,32400
North Carolina,2003,25721
North Dakota,2003,27410
Ohio,2003,27116
Oklahoma,2003,24712
Oregon,2003,26203
Pennsylvania,2003,29610
Rhode Island,2003,30638
South Carolina,2003,24360
South Dakota,2003,27819
Tennessee,2003,26828
Texas,2003,27668
Utah,2003,23274
Vermont,2003,29276
Virginia,2003,31960
Washington,2003,31129
West Virginia,2003,22681
Wisconsin,2003,28660
Wyoming,2003,30592
Alabama,2004,25962
Alaska,2004,34194
Arizona,2004,27300
Arkansas,2004,24746
California,2004,32732
Colorado,2004,31909
Connecticut,2004,40352
Delaware,2004,34710
District of Columbia,2004,43265
Florida,2004,30534
Georgia,2004,28812
Hawaii,2004,30947
Idaho,2004,25803
Illinois,2004,32556
Indiana,2004,27667
Iowa,2004,28871
Kansas,2004,27766
Kentucky,2004,25319
Louisiana,2004,25835
Maine,2004,29098
Maryland,2004,36402
Massachusetts,2004,36660
Michigan,2004,28939
Minnesota,2004,32902
Mississippi,2004,23561
Missouri,2004,28465
Montana,2004,25527
Nebraska,2004,30527
Nevada,2004,31486
New Hampshire,2004,35869
New Jersey,2004,37666
New Mexico,2004,25090
New York,2004,33663
North Carolina,2004,27534
North Dakota,2004,27684
Ohio,2004,28161
Oklahoma,2004,26624
Oregon,2004,27506
Pennsylvania,2004,31322
Rhode Island,2004,32121
South Carolina,2004,25394
South Dakota,2004,29673
Tennessee,2004,28182
Texas,2004,28591
Utah,2004,24429
Vermont,2004,30854
Virginia,2004,33753
Washington,2004,33205
West Virginia,2004,23522
Wisconsin,2004,29863
Wyoming,2004,32744
Alabama,2005,26961
Alaska,2005,35787
Arizona,2005,28727
Arkansas,2005,25469
California,2005,33772
Colorado,2005,33187
Connecticut,2005,41636
Delaware,2005,34406
District of Columbia,2005,44991
Florida,2005,31839
Georgia,2005,29696
Hawaii,2005,32320
Idaho,2005,26187
Illinois,2005,33410
Indiana,2005,28126
Iowa,2005,29352
Kansas,2005,28908
Kentucky,2005,26110
Louisiana,2005,27607
Maine,2005,29362
Maryland,2005,37606
Massachusetts,2005,37803
Michigan,2005,29372
Minnesota,2005,33137
Mississippi,2005,24729
Missouri,2005,28956
Montana,2005,26892
Nebraska,2005,31085
Nevada,2005,33539
New Hampshire,2005,36527
New Jersey,2005,38347
New Mexico,2005,26117
New York,2005,34473
North Carolina,2005,28723
North Dakota,2005,29101
Ohio,2005,28711
Oklahoma,2005,28666
Oregon,2005,28091
Pennsylvania,2005,32167
Rhode Island,2005,32674
South Carolina,2005,26271
South Dakota,2005,31002
Tennessee,2005,28889
Texas,2005,30093
Utah,2005,25631
Vermont,2005,31046
Virginia,2005,35100
Washington,2005,33652
West Virginia,2005,24407
Wisconsin,2005,30420
Wyoming,2005,34859
Alabama,2006,28086
Alaska,2006,37430
Arizona,2006,30674
Arkansas,2006,26599
California,2006,35966
Colorado,2006,34870
Connecticut,2006,44621
Delaware,2006,35794
District of Columbia,2006,47151
Florida,2006,33831
Georgia,2006,30641
Hawaii,2006,34060
Idaho,2006,27785
Illinois,2006,35188
Indiana,2006,29370
Iowa,2006,30791
Kansas,2006,31484
Kentucky,2006,27316
Louisiana,2006,30569
Maine,2006,30595
Maryland,2006,39102
Massachusetts,2006,40412
Michigan,2006,30012
Minnesota,2006,34321
Mississippi,2006,25499
Missouri,2006,30225
Montana,2006,28551
Nebraska,2006,31989
Nevada,2006,34940
New Hampshire,2006,38576
New Jersey,2006,40904
New Mexico,2006,27450
New York,2006,36589
North Carolina,2006,30355
North Dakota,2006,30086
Ohio,2006,29981
Oklahoma,2006,31151
Oregon,2006,30073
Pennsylvania,2006,33405
Rhode Island,2006,34275
South Carolina,2006,27621
South Dakota,2006,32046
Tennessee,2006,29997
Texas,2006,31952
Utah,2006,27532
Vermont,2006,32677
Virginia,2006,36802
Washington,2006,35701
West Virginia,2006,25892
Wisconsin,2006,31848
Wyoming,2006,38507
Alabama,2007,29148
Alaska,2007,39647
Arizona,2007,31718
Arkansas,2007,27920
California,2007,37131
Colorado,2007,36275
Connecticut,2007,47307
Delaware,2007,36453
District of Columbia,2007,49912
Florida,2007,34886
Georgia,2007,31299
Hawaii,2007,35809
Idaho,2007,28854
Illinois,2007,36778
Indiana,2007,30029
Iowa,2007,32493
Kansas,2007,33334
Kentucky,2007,28111
Louisiana,2007,32616
Maine,2007,31600
Maryland,2007,40301
Massachusetts,2007,41770
Michigan,2007,30838
Minnesota,2007,35867
Mississippi,2007,27004
Missouri,2007,31253
Montana,2007,30087
Nebraska,2007,34040
Nevada,2007,35362
New Hampshire,2007,39723
New Jersey,2007,42774
New Mexico,2007,28578
New York,2007,38820
North Carolina,2007,31777
North Dakota,2007,32976
Ohio,2007,31114
Oklahoma,2007,31738
Oregon,2007,31245
Pennsylvania,2007,35124
Rhode Island,2007,35784
South Carolina,2007,28805
South Dakota,2007,35074
Tennessee,2007,30900
Texas,2007,33161
Utah,2007,29017
Vermont,2007,34273
Virginia,2007,38329
Washington,2007,37954
West Virginia,2007,26681
Wisconsin,2007,33106
Wyoming,2007,39925
Alabama,2008,30060
Alaska,2008,43193
Arizona,2008,32036
Arkansas,2008,28916
California,2008,37601
Colorado,2008,37580
Connecticut,2008,50944
Delaware,2008,36279
District of Columbia,2008,51376
Florida,2008,35207
Georgia,2008,31329
Hawaii,2008,37440
Idaho,2008,29349
Illinois,2008,37808
Indiana,2008,31478
Iowa,2008,34511
Kansas,2008,36471
Kentucky,2008,29309
Louisiana,2008,34439
Maine,2008,33073
Maryland,2008,42392
Massachusetts,2008,43818
Michigan,2008,31942
Minnesota,2008,37341
Mississippi,2008,28099
Missouri,2008,32963
Montana,2008,31812
Nebraska,2008,36096
Nevada,2008,34684
New Hampshire,2008,41027
New Jersey,2008,44165
New Mexico,2008,30431
New York,2008,39676
North Carolina,2008,33713
North Dakota,2008,36851
Ohio,2008,32431
Oklahoma,2008,35169
Oregon,2008,32286
Pennsylvania,2008,36510
Rhode Island,2008,36711
South Carolina,2008,29877
South Dakota,2008,37495
Tennessee,2008,32022
Texas,2008,35587
Utah,2008,30139
Vermont,2008,36434
Virginia,2008,39567
Washington,2008,39703
West Virginia,2008,28305
Wisconsin,2008,34281
Wyoming,2008,43653
Alabama,2009,30104
Alaska,2009,43684
Arizona,2009,30892
Arkansas,2009,28802
California,2009,37290
Colorado,2009,36237
Connecticut,2009,52338
Delaware,2009,37190
District of Columbia,2009,52307
Florida,2009,33879
Georgia,2009,31160
Hawaii,2009,37599
Idaho,2009,28713
Illinois,2009,37067
Indiana,2009,31242
Iowa,2009,34037
Kansas,2009,35876
Kentucky,2009,29360
Louisiana,2009,33867
Maine,2009,33916
Maryland,2009,42894
Massachusetts,2009,44801
Michigan,2009,31388
Minnesota,2009,36641
Mississippi,2009,28153
Missouri,2009,33128
Montana,2009,31475
Nebraska,2009,36123
Nevada,2009,33092
New Hampshire,2009,41593
New Jersey,2009,44210
New Mexico,2009,30295
New York,2009,40661
North Carolina,2009,32788
North Dakota,2009,36878
Ohio,2009,32281
Oklahoma,2009,32982
Oregon,2009,31784
Pennsylvania,2009,36514
Rhode Island,2009,36857
South Carolina,2009,29460
South Dakota,2009,36885
Tennessee,2009,32241
Texas,2009,34410
Utah,2009,28956
Vermont,2009,37041
Virginia,2009,39467
Washington,2009,38458
West Virginia,2009,28992
Wisconsin,2009,34485
Wyoming,2009,40914
Alabama,2010,31090
Alaska,2010,45803
Arizona,2010,31059
Arkansas,2010,29569
California,2010,38364
Colorado,2010,36522
Connecticut,2010,53613
Delaware,2010,37145
District of Columbia,2010,55444
Florida,2010,35673
Georgia,2010,31536
Hawaii,2010,38004
Idaho,2010,29404
Illinois,2010,37816
Indiana,2010,32427
Iowa,2010,34811
Kansas,2010,36135
Kentucky,2010,30208
Louisiana,2010,35121
Maine,2010,34735
Maryland,2010,43933
Massachusetts,2010,46212
Michigan,2010,32498
Minnesota,2010,37885
Mississippi,2010,28902
Missouri,2010,33719
Montana,2010,32946
Nebraska,2010,37520
Nevada,2010,34194
New Hampshire,2010,43139
New Jersey,2010,45092
New Mexico,2010,31133
New York,2010,41862
North Carolina,2010,32610
North Dakota,2010,40260
Ohio,2010,33042
Oklahoma,2010,34211
Oregon,2010,32252
Pennsylvania,2010,37915
Rhode Island,2010,38650
South Carolina,2010,30132
South Dakota,2010,38533
Tennessee,2010,33456
Texas,2010,35830
Utah,2010,29218
Vermont,2010,38042
Virginia,2010,40560
Washington,2010,38886
West Virginia,2010,29891
Wisconsin,2010,35286
Wyoming,2010,42254
Alabama,2011,31757
Alaska,2011,48150
Arizona,2011,31992
Arkansas,2011,31103
California,2011,39963
Colorado,2011,38647
Connecticut,2011,54085
Delaware,2011,39039
District of Columbia,2011,57947
Florida,2011,36770
Georgia,2011,33092
Hawaii,2011,38830
Idaho,2011,30504
Illinois,2011,38874
Indiana,2011,33994
Iowa,2011,36895
Kansas,2011,38606
Kentucky,2011,31242
Louisiana,2011,35738
Maine,2011,35745
Maryland,2011,45329
Massachusetts,2011,47171
Michigan,2011,33962
Minnesota,2011,39696
Mississippi,2011,30068
