state,year,expected_years_of_schooling
Wyoming,2006,16.08
Alabama,2007,15.71
Alaska,2007,16.72
Arizona,2007,16.12
Arkansas,2007,15.63
California,2007,15.9
Colorado,2007,16.93
Connecticut,2007,16.8
Delaware,2007,16.35
District of Columbia,2007,16.57
Florida,2007,15.9
Georgia,2007,15.27
Hawaii,2007,16.06
Idaho,2007,15.89
Illinois,2007,16.23
Indiana,2007,15.7
Iowa,2007,15.86
Kansas,2007,16.26
Kentucky,2007,15.12
Louisiana,2007,15.14
Maine,2007,16.28
Maryland,2007,16.56
Massachusetts,2007,16.65
Michigan,2007,15.99
Minnesota,2007,16.34
Mississippi,2007,14.95
Missouri,2007,15.92
Montana,2007,16.54
Nebraska,2007,16.2
Nevada,2007,16.21
New Hampshire,2007,16.84
New Jersey,2007,16.44
New Mexico,2007,16.17
New York,2007,16.14
North Carolina,2007,15.68
North Dakota,2007,16.04
Ohio,2007,15.71
Oklahoma,2007,15.47
Oregon,2007,16.26
Pennsylvania,2007,15.96
Rhode Island,2007,16.39
South Carolina,2007,15.37
South Dakota,2007,15.99
Tennessee,2007,15.53
Texas,2007,15.49
Utah,2007,16.49
Vermont,2007,16.63
Virginia,2007,16.24
Washington,2007,16.6
West Virginia,2007,15.07
Wisconsin,2007,15.9
Wyoming,2007,16.14
Alabama,2008,15.78
Alaska,2008,16.78
Arizona,2008,16.18
Arkansas,2008,15.7
California,2008,15.94
Colorado,2008,16.99
Connecticut,2008,16.86
Delaware,2008,16.41
District of Columbia,2008,16.63
Florida,2008,15.96
Georgia,2008,15.34
Hawaii,2008,16.12
Idaho,2008,15.95
Illinois,2008,16.29
Indiana,2008,15.77
Iowa,2008,15.93
Kansas,2008,16.33
Kentucky,2008,15.19
Louisiana,2008,15.21
Maine,2008,16.34
Maryland,2008,16.62
Massachusetts,2008,16.72
Michigan,2008,16.06
Minnesota,2008,16.41
Mississippi,2008,15.02
Missouri,2008,15.99
Montana,2008,16.61
Nebraska,2008,16.27
Nevada,2008,16.28
New Hampshire,2008,16.9
New Jersey,2008,16.51
New Mexico,2008,16.24
New York,2008,16.21
North Carolina,2008,15.75
North Dakota,2008,16.11
Ohio,2008,15.78
Oklahoma,2008,15.54
Oregon,2008,16.32
Pennsylvania,2008,16.03
Rhode Island,2008,16.46
South Carolina,2008,15.44
South Dakota,2008,16.06
Tennessee,2008,15.6
Texas,2008,15.56
Utah,2008,16.56
Vermont,2008,16.7
Virginia,2008,16.31
Washington,2008,16.67
West Virginia,2008,15.14
Wisconsin,2008,15.97
Wyoming,2008,16.21
Alabama,2009,15.84
Alaska,2009,16.83
Arizona,2009,16.24
Arkansas,2009,15.76
California,2009,15.98
Colorado,2009,17.06
Connecticut,2009,16.92
Delaware,2009,16.46
District of Columbia,2009,16.69
Florida,2009,16.02
Georgia,2009,15.4
Hawaii,2009,16.18
Idaho,2009,16.01
Illinois,2009,16.36
Indiana,2009,15.83
Iowa,2009,15.99
Kansas,2009,16.4
Kentucky,2009,15.25
Louisiana,2009,15.28
Maine,2009,16.4
Maryland,2009,16.68
Massachusetts,2009,16.77
Michigan,2009,16.12
Minnesota,2009,16.47
Mississippi,2009,15.09
Missouri,2009,16.05
Montana,2009,16.67
Nebraska,2009,16.33
Nevada,2009,16.34
New Hampshire,2009,16.97
New Jersey,2009,16.57
New Mexico,2009,16.3
New York,2009,16.27
North Carolina,2009,15.81
North Dakota,2009,16.17
Ohio,2009,15.84
Oklahoma,2009,15.6
Oregon,2009,16.39
Pennsylvania,2009,16.09
Rhode Island,2009,16.52
South Carolina,2009,15.5
South Dakota,2009,16.12
Tennessee,2009,15.66
Texas,2009,15.62
Utah,2009,16.62
Vermont,2009,16.76
Virginia,2009,16.37
Washington,2009,16.73
West Virginia,2009,15.21
Wisconsin,2009,16.03
Wyoming,2009,16.27
Alabama,2010,15.9
Alaska,2010,16.89
Arizona,2010,16.3
Arkansas,2010,15.83
California,2010,16.02
Colorado,2010,17.12
Connecticut,2010,16.98
Delaware,2010,16.51
District of Columbia,2010,16.74
Florida,2010,16.08
Georgia,2010,15.46
Hawaii,2010,16.24
Idaho,2010,16.07
Illinois,2010,16.42
Indiana,2010,15.89
Iowa,2010,16.05
Kansas,2010,16.46
Kentucky,2010,15.31
Louisiana,2010,15.34
Maine,2010,16.46
Maryland,2010,16.74
Massachusetts,2010,16.83
Michigan,2010,16.18
Minnesota,2010,16.53
Mississippi,2010,15.15
Missouri,2010,16.11
Montana,2010,16.73
Nebraska,2010,16.39
Nevada,2010,16.4
New Hampshire,2010,17.03
New Jersey,2010,16.63
New Mexico,2010,16.36
New York,2010,16.33
North Carolina,2010,15.87
North Dakota,2010,16.23
Ohio,2010,15.9
Oklahoma,2010,15.66
Oregon,2010,16.45
Pennsylvania,2010,16.15
Rhode Island,2010,16.58
South Carolina,2010,15.56
South Dakota,2010,16.18
Tennessee,2010,15.72
Texas,2010,15.68
Utah,2010,16.68
Vermont,2010,16.82
Virginia,2010,16.44
Washington,2010,16.79
West Virginia,2010,15.27
Wisconsin,2010,16.09
Wyoming,2010,16.33
Alabama,2011,15.98
Alaska,2011,16.9
Arizona,2011,16.34
Arkansas,2011,15.9
California,2011,16.08
Colorado,2011,17.18
Connecticut,2011,17.03
Delaware,2011,16.59
District of Columbia,2011,16.78
Florida,2011,16.14
Georgia,2011,15.53
Hawaii,2011,16.3
Idaho,2011,16.14
Illinois,2011,16.48
Indiana,2011,15.95
Iowa,2011,16.11
Kansas,2011,16.52
Kentucky,2011,15.38
Louisiana,2011,15.41
Maine,2011,16.53
Maryland,2011,16.8
Massachusetts,2011,16.89
Michigan,2011,16.24
Minnesota,2011,16.59
Mississippi,2011,15.22
Missouri,2011,16.17
Montana,2011,16.79
Nebraska,2011,16.45
Nevada,2011,16.46
New Hampshire,2011,17.08
New Jersey,2011,16.69
New Mexico,2011,16.42
New York,2011,16.39
North Carolina,2011,15.94
North Dakota,2011,16.29
Ohio,2011,15.97
Oklahoma,2011,15.73
Oregon,2011,16.51
Pennsylvania,2011,16.21
Rhode Island,2011,16.64
South Carolina,2011,15.62
South Dakota,2011,16.24
Tennessee,2011,15.78
Texas,2011,15.74
Utah,2011,16.74
Vermont,2011,16.88
Virginia,2011,16.5
Washington,2011,16.85
West Virginia,2011,15.34
Wisconsin,2011,16.15
Wyoming,2011,16.39
Alabama,2012,16.06
Alaska,2012,16.92
Arizona,2012,16.38
Arkansas,2012,15.97
California,2012,16.13
Colorado,2012,17.24
Connecticut,2012,17.08
Delaware,2012,16.67
District of Columbia,2012,16.83
Florida,2012,16.2
Georgia,2012,15.6
Hawaii,2012,16.38
Idaho,2012,16.21
Illinois,2012,16.54
Indiana,2012,16.02
Iowa,2012,16.17
Kansas,2012,16.58
Kentucky,2012,15.45
Louisiana,2012,15.47
Maine,2012,16.6
Maryland,2012,16.86
Massachusetts,2012,16.95
Michigan,2012,16.31
Minnesota,2012,16.65
Mississippi,2012,15.29
Missouri,2012,16.24
Montana,2012,16.85
Nebraska,2012,16.51
Nevada,2012,16.53
New Hampshire,2012,17.13
New Jersey,2012,16.75
New Mexico,2012,16.49
New York,2012,16.45
North Carolina,2012,16
North Dakota,2012,16.36
Ohio,2012,16.04
Oklahoma,2012,15.8
Oregon,2012,16.58
Pennsylvania,2012,16.28
Rhode Island,2012,16.7
South Carolina,2012,15.69
South Dakota,2012,16.31
Tennessee,2012,15.85
Texas,2012,15.81
Utah,2012,16.81
Vermont,2012,16.94
Virginia,2012,16.57
Washington,2012,16.92
West Virginia,2012,15.41
Wisconsin,2012,16.21
Wyoming,2012,16.46
Alabama,2013,16.14
Alaska,2013,16.93
Arizona,2013,16.42
Arkansas,2013,16.04
California,2013,16.18
Colorado,2013,17.3
Connecticut,2013,17.13
Delaware,2013,16.75
District of Columbia,2013,16.88
Florida,2013,16.25
Georgia,2013,15.66
Hawaii,2013,16.42
Idaho,2013,16.27
Illinois,2013,16.6
Indiana,2013,16.08
Iowa,2013,16.24
Kansas,2013,16.65
Kentucky,2013,15.52
Louisiana,2013,15.54
Maine,2013,16.66
Maryland,2013,16.92
Massachusetts,2013,17
Michigan,2013,16.37
Minnesota,2013,16.71
Mississippi,2013,15.35
Missouri,2013,16.3
Montana,2013,16.91
Nebraska,2013,16.57
Nevada,2013,16.58
New Hampshire,2013,17.18
New Jersey,2013,16.81
New Mexico,2013,16.55
New York,2013,16.5
North Carolina,2013,16.06
North Dakota,2013,16.42
Ohio,2013,16.1
Oklahoma,2013,15.86
Oregon,2013,16.64
Pennsylvania,2013,16.34
Rhode Island,2013,16.76
South Carolina,2013,15.75
South Dakota,2013,16.37
Tennessee,2013,15.91
Texas,2013,15.87
Utah,2013,16.87
Vermont,2013,17
Virginia,2013,16.63
Washington,2013,16.98
West Virginia,2013,15.47
Wisconsin,2013,16.28
Wyoming,2013,16.52
Alabama,2014,16.15
Alaska,2014,16.88
Arizona,2014,16.39
Arkansas,2014,16.05
California,2014,16.17
Colorado,2014,17.29
Connecticut,2014,17.12
Delaware,2014,16.76
District of Columbia,2014,16.87
Florida,2014,16.25
Georgia,2014,15.66
Hawaii,2014,16.42
Idaho,2014,16.28
Illinois,2014,16.6
Indiana,2014,16.09
Iowa,2014,16.24
Kansas,2014,16.65
Kentucky,2014,15.53
Louisiana,2014,15.55
Maine,2014,16.66
Maryland,2014,16.91
Massachusetts,2014,17
Michigan,2014,16.38
Minnesota,2014,16.71
Mississippi,2014,15.35
Missouri,2014,16.3
Montana,2014,16.91
Nebraska,2014,16.57
Nevada,2014,16.59
New Hampshire,2014,17.18
New Jersey,2014,16.8
New Mexico,2014,16.55
New York,2014,16.5
North Carolina,2014,16.06
North Dakota,2014,16.43
Ohio,2014,16.1
Oklahoma,2014,15.86
Oregon,2014,16.64
Pennsylvania,2014,16.34
Rhode Island,2014,16.75
South Carolina,2014,15.75
South Dakota,2014,16.38
Tennessee,2014,15.92
Texas,2014,15.87
Utah,2014,16.88
Vermont,2014,17
Virginia,2014,16.62
Washington,2014,16.97
West Virginia,2014,15.48
Wisconsin,2014,16.28
Wyoming,2014,16.52
Alabama,2015,16.21
Alaska,2015,16.87
Arizona,2015,16.41
Arkansas,2015,16.09
California,2015,16.21
Colorado,2015,17.32
Connecticut,2015,17.15
Delaware,2015,16.81
District of Columbia,2015,16.9
Florida,2015,16.28
Georgia,2015,15.7
Hawaii,2015,16.45
Idaho,2015,16.33
Illinois,2015,16.64
Indiana,2015,16.13
Iowa,2015,16.28
Kansas,2015,16.69
Kentucky,2015,15.58
Louisiana,2015,15.59
Maine,2015,16.7
Maryland,2015,16.95
Massachusetts,2015,17.04
Michigan,2015,16.42
Minnesota,2015,16.76
Mississippi,2015,15.39
Missouri,2015,16.35
Montana,2015,16.95
Nebraska,2015,16.61
Nevada,2015,16.63
New Hampshire,2015,17.22
New Jersey,2015,16.84
New Mexico,2015,16.59
New York,2015,16.54
North Carolina,2015,16.1
North Dakota,2015,16.47
Ohio,2015,16.14
Oklahoma,2015,15.91
Oregon,2015,16.68
Pennsylvania,2015,16.38
Rhode Island,2015,16.8
South Carolina,2015,15.79
South Dakota,2015,16.42
Tennessee,2015,15.96
Texas,2015,15.91
Utah,2015,16.92
Vermont,2015,17.04
Virginia,2015,16.67
Washington,2015,17.01
West Virginia,2015,15.52
Wisconsin,2015,16.32
Wyoming,2015,16.56
Alabama,2016,16.28
Alaska,2016,16.95
Arizona,2016,16.48
Arkansas,2016,16.17
California,2016,16.28
Colorado,2016,17.4
Connecticut,2016,17.23
Delaware,2016,16.89
District of Columbia,2016,16.98
Florida,2016,16.35
Georgia,2016,15.77
Hawaii,2016,16.52
Idaho,2016,16.4
Illinois,2016,16.71
Indiana,2016,16.2
Iowa,2016,16.34
Kansas,2016,16.76
Kentucky,2016,15.66
Louisiana,2016,15.66
Maine,2016,16.77
Maryland,2016,17.02
Massachusetts,2016,17.12
Michigan,2016,16.49
Minnesota,2016,16.83
Mississippi,2016,15.46
Missouri,2016,16.41
Montana,2016,17.02
Nebraska,2016,16.68
Nevada,2016,16.7
New Hampshire,2016,17.29
New Jersey,2016,16.92
New Mexico,2016,16.66
New York,2016,16.61
North Carolina,2016,16.17
North Dakota,2016,16.54
Ohio,2016,16.21
Oklahoma,2016,15.98
Oregon,2016,16.75
Pennsylvania,2016,16.45
Rhode Island,2016,16.86
South Carolina,2016,15.86
South Dakota,2016,16.49
Tennessee,2016,16.03
Texas,2016,15.98
Utah,2016,16.98
Vermont,2016,17.1
Virginia,2016,16.74
Washington,2016,17.08
West Virginia,2016,15.59
Wisconsin,2016,16.39
Wyoming,2016,16.63
Alabama,2017,16.28
Alaska,2017,16.95
Arizona,2017,16.48
Arkansas,2017,16.17
California,2017,16.28
Colorado,2017,17.4
Connecticut,2017,17.23
Delaware,2017,16.89
District of Columbia,2017,16.98
Florida,2017,16.35
Georgia,2017,15.77
Hawaii,2017,16.52
Idaho,2017,16.4
Illinois,2017,16.71
Indiana,2017,16.2
Iowa,2017,16.34
Kansas,2017,16.76
Kentucky,2017,15.66
Louisiana,2017,15.66
Maine,2017,16.77
Maryland,2017,17.02
Massachusetts,2017,17.12
Michigan,2017,16.49
Minnesota,2017,16.83
Mississippi,2017,15.46
Missouri,2017,16.41
Montana,2017,17.02
Nebraska,2017,16.68
Nevada,2017,16.7
New Hampshire,2017,17.29
New Jersey,2017,16.92
New Mexico,2017,16.66
New York,2017,16.61
North Carolina,2017,16.17
North Dakota,2017,16.54
Ohio,2017,16.21
Oklahoma,2017,15.98
Oregon,2017,16.75
Pennsylvania,2017,16.45
Rhode Island,2017,16.86
South Carolina,2017,15.86
South Dakota,2017,16.49
Tennessee,2017,16.03
Texas,2017,15.98
Utah,2017,16.98
Vermont,2017,17.1
Virginia,2017,16.74
Washington,2017,17.08
West Virginia,2017,15.59
Wisconsin,2017,16.39
Wyoming,2017,16.63
Alabama,2018,16.25
Alaska,2018,16.92
Arizona,2018,16.45
Arkansas,2018,16.14
California,2018,16.25
Colorado,2018,17.37
Connecticut,2018,17.2
Delaware,2018,16.86
District of Columbia,2018,16.95
Florida,2018,16.33
Georgia,2018,15.74
Hawaii,2018,16.49
Idaho,2018,16.37
Illinois,2018,16.68
Indiana,2018,16.17
Iowa,2018,16.31
Kansas,2018,16.73
Kentucky,2018,15.63
Louisiana,2018,15.63
Maine,2018,16.74
Maryland,2018,16.99
Massachusetts,2018,17.09
Michigan,2018,16.46
Minnesota,2018,16.8
Mississippi,2018,15.43
Missouri,2018,16.38
Montana,2018,16.99
Nebraska,2018,16.65
Nevada,2018,16.67
New Hampshire,2018,17.26
New Jersey,2018,16.89
New Mexico,2018,16.63
New York,2018,16.58
North Carolina,2018,16.14
North Dakota,2018,16.51
Ohio,2018,16.18
Oklahoma,2018,15.95
Oregon,2018,16.72
Pennsylvania,2018,16.42
Rhode Island,2018,16.83
South Carolina,2018,15.83
South Dakota,2018,16.46
Tennessee,2018,16
Texas,2018,15.95
Utah,2018,16.95
Vermont,2018,17.07
Virginia,2018,16.71
Washington,2018,17.05
West Virginia,2018,15.56
Wisconsin,2018,16.36
Wyoming,2018,16.6
Alabama,2019,16.24
Alaska,2019,16.91
Arizona,2019,16.45
Arkansas,2019,16.13
California,2019,16.24
Colorado,2019,17.36
Connecticut,2019,17.19
Delaware,2019,16.86
District of Columbia,2019,16.94
Florida,2019,16.33
Georgia,2019,15.74
Hawaii,2019,16.49
Idaho,2019,16.36
Illinois,2019,16.67
Indiana,2019,16.17
Iowa,2019,16.31
Kansas,2019,16.73
Kentucky,2019,15.63
Louisiana,2019,15.63
Maine,2019,16.74
Maryland,2019,16.98
Massachusetts,2019,17.08
Michigan,2019,16.46
Minnesota,2019,16.8
Mississippi,2019,15.43
Missouri,2019,16.37
Montana,2019,16.98
Nebraska,2019,16.64
Nevada,2019,16.67
New Hampshire,2019,17.26
New Jersey,2019,16.89
New Mexico,2019,16.62
New York,2019,16.58
North Carolina,2019,16.14
North Dakota,2019,16.51
Ohio,2019,16.18
Oklahoma,2019,15.95
Oregon,2019,16.72
Pennsylvania,2019,16.42
Rhode Island,2019,16.83
South Carolina,2019,15.83
South Dakota,2019,16.46
Tennessee,2019,16
Texas,2019,15.95
Utah,2019,16.95
Vermont,2019,17.07
Virginia,2019,16.71
Washington,2019,17.05
West Virginia,2019,15.56
Wisconsin,2019,16.36
Wyoming,2019,16.6
Alabama,2020,16.24
Alaska,2020,16.9
Arizona,2020,16.44
Arkansas,2020,16.12
California,2020,16.24
Colorado,2020,17.35
Connecticut,2020,17.18
Delaware,2020,16.85
District of Columbia,2020,16.94
Florida,2020,16.33
Georgia,2020,15.74
Hawaii,2020,16.48
Idaho,2020,16.36
Illinois,2020,16.67
Indiana,2020,16.17
Iowa,2020,16.31
Kansas,2020,16.73
Kentucky,2020,15.63
Louisiana,2020,15.63
Maine,2020,16.74
Maryland,2020,16.98
Massachusetts,2020,17.08
Michigan,2020,16.46
Minnesota,2020,16.8
Mississippi,2020,15.43
Missouri,2020,16.37
Montana,2020,16.98
Nebraska,2020,16.64
Nevada,2020,16.67
New Hampshire,2020,17.26
New Jersey,2020,16.89
New Mexico,2020,16.62
New York,2020,16.58
North Carolina,2020,16.14
North Dakota,2020,16.51
Ohio,2020,16.18
Oklahoma,2020,15.95
Oregon,2020,16.72
Pennsylvania,2020,16.42
Rhode Island,2020,16.83
South Carolina,2020,15.83
South Dakota,2020,16.46
Tennessee,2020,16
Texas,2020,15.95
Utah,2020,16.95
Vermont,2020,17.07
Virginia,2020,16.71
Washington,2020,17.05
West Virginia,2020,15.56
Wisconsin,2020,16.36
Wyoming,2020,16.6
Alabama,2021,16.03
Alaska,2021,16.69
Arizona,2021,16.23
Arkansas,2021,15.92
California,2021,16.03
Colorado,2021,17.13
Connecticut,2021,16.96
Delaware,2021,16.63
District of Columbia,2021,16.73
Florida,2021,16.11
Georgia,2021,15.53
Hawaii,2021,16.27
Idaho,2021,16.16
Illinois,2021,16.46
Indiana,2021,15.96
Iowa,2021,16.1
Kansas,2021,16.52
Kentucky,2021,15.42
Louisiana,2021,15.42
Maine,2021,16.53
Maryland,2021,16.78
Massachusetts,2021,16.87
Michigan,2021,16.25
Minnesota,2021,16.59
Mississippi,2021,15.21
Missouri,2021,16.16
Montana,2021,16.78
Nebraska,2021,16.43
Nevada,2021,16.45
New Hampshire,2021,17.05
New Jersey,2021,16.66
New Mexico,2021,16.4
New York,2021,16.36
North Carolina,2021,15.93
North Dakota,2021,16.29
Ohio,2021,15.97
Oklahoma,2021,15.73
Oregon,2021,16.51
Pennsylvania,2021,16.21
Rhode Island,2021,16.63
South Carolina,2021,15.62
South Dakota,2021,16.24
Tennessee,2021,15.78
Texas,2021,15.73
Utah,2021,16.74
Vermont,2021,16.85
Virginia,2021,16.5
Washington,2021,16.85
West Virginia,2021,15.35
Wisconsin,2021,16.15
Wyoming,2021,16.46
Alabama,2022,15.55
Alaska,2022,16.19
Arizona,2022,15.74
Arkansas,2022,15.44
California,2022,15.55
Colorado,2022,16.62
Connecticut,2022,16.45
Delaware,2022,16.13
District of Columbia,2022,16.23
Florida,2022,15.6
Georgia,2022,15.04
Hawaii,2022,15.77
Idaho,2022,15.65
Illinois,2022,15.95
Indiana,2022,15.46
Iowa,2022,15.6
Kansas,2022,16.02
Kentucky,2022,14.92
Louisiana,2022,14.92
Maine,2022,16.03
Maryland,2022,16.28
Massachusetts,2022,16.37
Michigan,2022,15.75
Minnesota,2022,16.08
Mississippi,2022,14.7
Missouri,2022,15.66
Montana,2022,16.28
Nebraska,2022,15.93
Nevada,2022,15.94
New Hampshire,2022,16.54
New Jersey,2022,16.16
New Mexico,2022,15.9
New York,2022,15.86
North Carolina,2022,15.43
North Dakota,2022,15.78
Ohio,2022,15.47
Oklahoma,2022,15.23
Oregon,2022,16.01
Pennsylvania,2022,15.7
Rhode Island,2022,16.13
South Carolina,2022,15.12
South Dakota,2022,15.74
Tennessee,2022,15.28
Texas,2022,15.24
Utah,2022,16.24
Vermont,2022,16.35
Virginia,2022,16.1
Washington,2022,16.34
West Virginia,2022,14.85
Wisconsin,2022,15.64
Wyoming,2022,15.96
Alabama,2023,15.55
Alaska,2023,16.19
Arizona,2023,15.74
Arkansas,2023,15.44
California,2023,15.55
Colorado,2023,16.62
Connecticut,2023,16.45
Delaware,2023,16.13
District of Columbia,2023,16.23
Florida,2023,15.6
Georgia,2023,15.04
Hawaii,2023,15.77
Idaho,2023,15.65
Illinois,2023,15.95
Indiana,2023,15.46
Iowa,2023,15.6
Kansas,2023,16.02
Kentucky,2023,14.92
Louisiana,2023,14.92
Maine,2023,16.03
Maryland,2023,16.28
Massachusetts,2023,16.37
Michigan,2023,15.75
Minnesota,2023,16.08
Mississippi,2023,14.7
Missouri,2023,15.66
Montana,2023,16.28
Nebraska,2023,15.93
Nevada,2023,15.94
New Hampshire,2023,16.54
New Jersey,2023,16.16
New Mexico,2023,15.9
New York,2023,15.86
North Carolina,2023,15.43
North Dakota,2023,15.78
Ohio,2023,15.47
Oklahoma,2023,15.23
Oregon,2023,16.01
Pennsylvania,2023,15.7
Rhode Island,2023,16.13
South Carolina,2023,15.12
South Dakota,2023,15.74
Tennessee,2023,15.28
Texas,2023,15.24
Utah,2023,16.24
Vermont,2023,16.35
Virginia,2023,16.1
Washington,2023,16.34
West Virginia,2023,14.85
Wisconsin,2023,15.64
Wyoming,2023,15.96
